voiceID,meanF0Hz,stdevF0Hz,HNR
audio\s10_l_bbat9p.wav,192.65354323940642,13.397423501138238,18.340694602056466
audio\s10_l_bbay5n.wav,196.58243796548575,22.503774386726064,17.92810796538885
audio\s10_l_bbbg8s.wav,219.47855771144356,64.56597072905932,18.73768413895009
audio\s10_l_bbbg9p.wav,195.10859297762462,15.425194838298577,19.998499703516334
audio\s10_l_bgin7n.wav,200.87381826905505,32.85342945416275,18.767062231472565
audio\s10_l_braczp.wav,209.0574110734228,32.085286486345055,18.349802561032007
audio\s10_l_brin2n.wav,204.93791301186593,39.44566558073828,19.732786893558202
audio\s10_l_bwbc1s.wav,224.5294119749436,74.91271724427381,18.886533356673503
audio\s10_l_bwbi7s.wav,198.8744658154718,41.56511587327024,17.202965248278666
audio\s10_l_bwbp9a.wav,197.37024464980573,31.114992609829777,15.894422285246934
audio\s10_l_bwiu3s.wav,200.0078995746232,15.229872607706001,20.650720663755976
audio\s10_l_bwwoza.wav,189.96238862989472,14.423851697967482,18.047265996963127
audio\s10_l_lbbt4a.wav,207.25145207484502,29.0022753816309,17.071908951711027
audio\s10_l_lgif6n.wav,204.97839009209645,60.27008505079879,15.496693697893596
audio\s10_l_lgwp6p.wav,210.60854175491679,49.78207429262396,17.243656320615443
audio\s10_l_lgwz8a.wav,201.10591959378704,29.99892729518671,18.198792580913246
audio\s10_l_lral6p.wav,202.71367137438673,39.00907418554365,15.852261589959555
audio\s10_l_lwaa3p.wav,214.89316887222887,50.88260700639147,18.517097334959402
audio\s10_l_lwaozp.wav,205.1254800680901,40.172474864528006,18.670857370839215
audio\s10_l_lwix7n.wav,200.35452703462704,33.750974482559265,16.439408223973057
audio\s10_l_pbbj5n.wav,195.93220735165008,20.964357544338643,15.558387123746604
audio\s10_l_pbbq3s.wav,203.91425632096912,15.935289265852548,18.629982559933946
audio\s10_l_pbwf9p.wav,210.14996014229732,47.4135846267495,18.454609645230946
audio\s10_l_pbwm2p.wav,207.63207523714817,25.279772756361517,18.854699044754188
audio\s10_l_pbwq2a.wav,197.13936578782716,49.70234123838585,17.251243877144137
audio\s10_l_pbwz2n.wav,200.38736906059677,19.908168290233885,20.33620010587078
audio\s10_l_pgae7s.wav,203.93090006578473,36.261312491655055,17.940399189203674
audio\s10_l_pgba6s.wav,209.2120010250572,34.59181620497671,16.21552262756855
audio\s10_l_pgil3n.wav,200.14531544417733,20.74294489605822,17.977898369043498
audio\s10_l_pgir2a.wav,197.50292105619704,24.91827132117688,16.599476108859324
audio\s10_l_pgwe9p.wav,198.53935942084001,25.231297216429287,19.641842095254148
audio\s10_l_prax4n.wav,190.46652809955592,22.562136251917046,17.94717052187899
